,Unnamed: 0,Year,Wind (% electricity),Solar (% electricity),% coches
0,0,1990-01-01 00:00:00,0.033880398,0.00050570356,0.0
1,1,1990-02-01,,,
2,2,1990-03-01,,,
3,3,1990-04-01,,,
4,4,1990-05-01,,,
5,5,1990-06-01,,,
6,6,1990-07-01,,,
7,7,1990-08-01,,,
8,8,1990-09-01,,,
9,9,1990-10-01,,,
10,10,1990-11-01,,,
11,11,1990-12-01,,,
12,1,1991-01-01 00:00:00,0.041896664,0.00058248057,0.0
13,13,1991-02-01,,,
14,14,1991-03-01,,,
15,15,1991-04-01,,,
16,16,1991-05-01,,,
17,17,1991-06-01,,,
18,18,1991-07-01,,,
19,19,1991-08-01,,,
20,20,1991-09-01,,,
21,21,1991-10-01,,,
22,22,1991-11-01,,,
23,23,1991-12-01,,,
24,2,1992-01-01 00:00:00,0.06520976,0.0009589261,0.0
25,25,1992-02-01,,,
26,26,1992-03-01,,,
27,27,1992-04-01,,,
28,28,1992-05-01,,,
29,29,1992-06-01,,,
30,30,1992-07-01,,,
31,31,1992-08-01,,,
32,32,1992-09-01,,,
33,33,1992-10-01,,,
34,34,1992-11-01,,,
35,35,1992-12-01,,,
36,3,1993-01-01 00:00:00,0.08973795,0.0012319986,0.0
37,37,1993-02-01,,,
38,38,1993-03-01,,,
39,39,1993-04-01,,,
40,40,1993-05-01,,,
41,41,1993-06-01,,,
42,42,1993-07-01,,,
43,43,1993-08-01,,,
44,44,1993-09-01,,,
45,45,1993-10-01,,,
46,46,1993-11-01,,,
47,47,1993-12-01,,,
48,4,1994-01-01 00:00:00,0.112631254,0.0012691952,0.0
49,49,1994-02-01,,,
50,50,1994-03-01,,,
51,51,1994-04-01,,,
52,52,1994-05-01,,,
53,53,1994-06-01,,,
54,54,1994-07-01,,,
55,55,1994-08-01,,,
56,56,1994-09-01,,,
57,57,1994-10-01,,,
58,58,1994-11-01,,,
59,59,1994-12-01,,,
60,5,1995-01-01 00:00:00,0.14403802,0.001612019,0.0
61,61,1995-02-01,,,
62,62,1995-03-01,,,
63,63,1995-04-01,,,
64,64,1995-05-01,,,
65,65,1995-06-01,,,
66,66,1995-07-01,,,
67,67,1995-08-01,,,
68,68,1995-09-01,,,
69,69,1995-10-01,,,
70,70,1995-11-01,,,
71,71,1995-12-01,,,
72,6,1996-01-01 00:00:00,0.17413059,0.0016378234,0.0
73,73,1996-02-01,,,
74,74,1996-03-01,,,
75,75,1996-04-01,,,
76,76,1996-05-01,,,
77,77,1996-06-01,,,
78,78,1996-07-01,,,
79,79,1996-08-01,,,
80,80,1996-09-01,,,
81,81,1996-10-01,,,
82,82,1996-11-01,,,
83,83,1996-12-01,,,
84,7,1997-01-01 00:00:00,0.26419014,0.0019906648,0.0
85,85,1997-02-01,,,
86,86,1997-03-01,,,
87,87,1997-04-01,,,
88,88,1997-05-01,,,
89,89,1997-06-01,,,
90,90,1997-07-01,,,
91,91,1997-08-01,,,
92,92,1997-09-01,,,
93,93,1997-10-01,,,
94,94,1997-11-01,,,
95,95,1997-12-01,,,
96,8,1998-01-01 00:00:00,0.40144256,0.002305789,0.0
97,97,1998-02-01,,,
98,98,1998-03-01,,,
99,99,1998-04-01,,,
100,100,1998-05-01,,,
101,101,1998-06-01,,,
102,102,1998-07-01,,,
103,103,1998-08-01,,,
104,104,1998-09-01,,,
105,105,1998-10-01,,,
106,106,1998-11-01,,,
107,107,1998-12-01,,,
108,9,1999-01-01 00:00:00,0.5159831,0.0026739375,0.0
109,109,1999-02-01,,,
110,110,1999-03-01,,,
111,111,1999-04-01,,,
112,112,1999-05-01,,,
113,113,1999-06-01,,,
114,114,1999-07-01,,,
115,115,1999-08-01,,,
116,116,1999-09-01,,,
117,117,1999-10-01,,,
118,118,1999-11-01,,,
119,119,1999-12-01,,,
120,10,2000-01-01 00:00:00,0.8093792,0.0041857883,0.0
121,121,2000-02-01,,,
122,122,2000-03-01,,,
123,123,2000-04-01,,,
124,124,2000-05-01,,,
125,125,2000-06-01,,,
126,126,2000-07-01,,,
127,127,2000-08-01,,,
128,128,2000-09-01,,,
129,129,2000-10-01,,,
130,130,2000-11-01,,,
131,131,2000-12-01,,,
132,11,2001-01-01 00:00:00,0.9518668,0.007026212,0.0
133,133,2001-02-01,,,
134,134,2001-03-01,,,
135,135,2001-04-01,,,
136,136,2001-05-01,,,
137,137,2001-06-01,,,
138,138,2001-07-01,,,
139,139,2001-08-01,,,
140,140,2001-09-01,,,
141,141,2001-10-01,,,
142,142,2001-11-01,,,
143,143,2001-12-01,,,
144,12,2002-01-01 00:00:00,1.2879243,0.009918411,0.0
145,145,2002-02-01,,,
146,146,2002-03-01,,,
147,147,2002-04-01,,,
148,148,2002-05-01,,,
149,149,2002-06-01,,,
150,150,2002-07-01,,,
151,151,2002-08-01,,,
152,152,2002-09-01,,,
153,153,2002-10-01,,,
154,154,2002-11-01,,,
155,155,2002-12-01,,,
156,13,2003-01-01 00:00:00,1.54522,0.01427455,0.0
157,157,2003-02-01,,,
158,158,2003-03-01,,,
159,159,2003-04-01,,,
160,160,2003-05-01,,,
161,161,2003-06-01,,,
162,162,2003-07-01,,,
163,163,2003-08-01,,,
164,164,2003-09-01,,,
165,165,2003-10-01,,,
166,166,2003-11-01,,,
167,167,2003-12-01,,,
168,14,2004-01-01 00:00:00,2.0048866,0.023701718,0.0
169,169,2004-02-01,,,
170,170,2004-03-01,,,
171,171,2004-04-01,,,
172,172,2004-05-01,,,
173,173,2004-06-01,,,
174,174,2004-07-01,,,
175,175,2004-08-01,,,
176,176,2004-09-01,,,
177,177,2004-10-01,,,
178,178,2004-11-01,,,
